ET;PREC;POOPO;TITICACA
56.6;41.7;2909.5281;NA
68.5;0;2907.7461;NA
95.93333;0;406.3869;NA
65.325;0;56.178;NA
88.8;39.1;1338.8319;NA
62.25;1.15;1731.5784;NA
97.2;13.4;1372.8915;NA
76.55;0;1286.8866;NA
86.5333;13.36666667;1100.421;3809.8425
71.1;0;844.9245;3809.678
93.35;2.3;1747.7271;3810.901
70.6;11.63333333;1657.9107;3810.57875
92.63333;11.93333333;1373.3541;3810.6255
70.1;7.666666667;1234.0827;3810.225
86.95;43.9;866.0862;3810.414
69.93333;4.733333333;772.9569;3810.18125
93.2666;33.6;122.8032;3810.1905
71.56666;3;21.5595;3809.4815
98.9;16;656.0694;3809.235
79.4;0;339.3684;3809.2065
NA;NA;1388.9475;3809.45
NA;NA;1131.0813;3809.197
